Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Tapones Lite 100 uds,A00497,1,consu,0.0,,,,Tapones Lite 100 uds
Tasas e impuestos,A00488,1,service,0.0,,,,Duties and taxes
Tobogan 3 carriles con separadores,A00486,1,consu,3,,,,Tobogan 3 carriles con separadores
Tobogán 2 carriles,A00490,1,consu,1,,,,Tobogán 2 carril
Estructura Tobogán de 27m,A00510,0,"05 Accesorios dinamización, ayuda al patinaje, nuevos productos",0.0,,,0.0,Tobogán de 27m
Tobogán de 3 carriles,A00399,"23.000,00",consu,3,,,,3 lane slide
Tobogán de 3 carriles con estructura,,"120.000,00",consu,,,,,
Tobogán de 6 carriles,A00401,"46.000,00",consu,6,,,,6 lane slide
Tobogán de 6 carriles con estructura,,"220.000,00",consu,,,,,
Tornapunta aluminio,A00184,1,consu,5.0,,,7306.61.99,Tornapunta aluminio
Tornapuntas fibra,A00298,1,consu,5.0,,,7306.61.99,Special Barrier Accesory Fiber
Tornillo para cemento 2 por pie,A00460,0,consu,0.0,,,,Cement screw 2 per foot
Tornillos de madera 2 por pie,A00459,0,consu,0.0,,,,Wood screws 2 per foot
Traje de agua (1 unidad),A00455,0,consu,0.5,Accesorios,1.20x0.80,,Waterproof coverall
Transporte,A00117,0,service,0.0,,,,Shipping
Transporte de vuelta,A00118,0,service,0.0,,,,Return Shipping
Trineo,A00237,1,consu,5.0,Accesorios,1.20x0.80,9506.90.01,Trineo
VARILLAS PARA TAPONES,A00196,1,consu,0.0,,,,VARILLAS PARA TAPONES
Valla Lite alu blanca curva,A00019,1,consu,11.1,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu blanca curva
Valla Lite alu blanca especial,A00018,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu blanca especial
Valla Lite alu blanca porteria,A00188,1,consu,0.0,,,,Valla Lite alu blanca porteria
Valla Lite alu blanca puerta,A00021,1,consu,0.0,,,,Valla Lite alu blanca puerta
Valla Lite alu blanca recta,A00017,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu blanca recta
Valla Lite alu plata curva,A00024,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu plata curva
Valla Lite alu plata especial,A00023,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu plata especial
Valla Lite alu plata puerta,A00025,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu plata puerta
Valla Lite alu plata recta,A00022,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla Lite alu plata recta
Valla Lite fibra curva,A00011,1,consu,10.0,Vallas,2.00x1.25,7019.31.00.90,Valla Lite fibra curva
Valla Lite fibra especial,A00010,1,consu,10.0,Vallas,2.00x1.25,7019.31.00.90,Valla Lite fibra especial
Valla Lite fibra portería,A00209,1,consu,10.0,Vallas,2.00x1.25,7019.31.00.90,Valla Lite fibra portería
Valla Lite fibra puerta,A00012,1,consu,20.0,Vallas,2.00x1.25,7019.90.00.20,Valla Lite fibra puerta
Valla Lite fibra recta,A00009,1,consu,10.0,Vallas,2.00x1.25,,Valla Lite fibra recta
Valla Smartice Especial,A00499,500,consu,0.0,,,,Valla Smartice Especial
Valla Smartice Recta,A00498,500,consu,0.0,,,,Valla Smartice Recta
Valla Smartice curva,A00500,750,consu,0.0,,,,Valla Smartice curva
Valla alu blanca curva,A00040,1,consu,21.4,Vallas,2.00x1.25,7610.90.00.80,Valla alu blanca curva
Valla alu blanca especial,A00039,1,consu,10.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu blanca especial
Valla alu blanca puerta,A00041,1,consu,21.4,Vallas,2.00x1.25,7610.90.00.80,Valla alu blanca puerta
Valla alu blanca recta,A00038,1,consu,20.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu blanca recta
Valla alu curva,A00044,"1.800,00",consu,20.0,Vallas,2.00x1.25,7610.90.00.80,Corner Aluminium Barrier
Valla alu curva antigua,A00036,1,consu,17.6,Vallas,2.00x1.25,,Barrier alu old curved
Valla alu curva inversa,A00449,850,consu,20.0,,,7610.90.00.80,Inversed aluminium corner barrier
Valla alu especial,A00043,600,consu,20.0,Vallas,2.00x1.25,7610.90.00.80,Special aluminium barrier
Valla alu especial antigua,A00032,1,consu,17.6,Vallas,2.00x1.25,,Barrier alu old special
Valla alu especial puerta,A00477,600,consu,0.0,Vallas,2.00x1.25,,Special aluminium gate barrier
Valla alu madera blanca especial,A00047,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera blanca especial
Valla alu madera blanca puerta,A00049,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera blanca puerta
Valla alu madera blanca recta,A00046,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera blanca recta
Valla alu madera especial,A00051,1,consu,12.0,Vallas,2.00x1.25,7610.90.00.80,Valla alu madera especial
